Name of Organization,Organization Address: Address Line 1,Organization Address: City,Organization Address: State,Organization Address: Zip/Postal Code,Business Phone No,Webpage,Name of Point of Contact,Position/Title,Business Email Address,Type of Organization,(For ISP only) Do you have a low-cost home internet service offer or subsidy?,4. What digital inclusion service(s) does your entity/organization provide to individuals? Please select all that apply.,5. What is your entity/organization's service area?,6. Please indicate all the counties in which you provide services.,7. Please indicate all the cities in which you provide services,8. How does your entity/organization provide its services? Select all that apply. ,Please provide the website URL where more information about your virtual program / service can be found.,Name of physical location where services are provided.,What is the physical location address where your entity/organization provides in-person services?,Phone Number,Hours of Operation,Program/Service Webpage,Name of physical location where services are provided..1,What is the physical location address where your entity/organization provides in-person services?.1,Phone Number.1,Hours of Operation.1,Program/Service Webpage.1,Name of physical location where services are provided..2,What is the physical location address where your entity/organization provides in-person services?.2,Phone Number.2,Hours of Operation.2,Program/Service Webpage.2,Name of physical location where services are provided..3,What is the physical location address where your entity/organization provides in-person services?.3,Phone Number.3,Hours of Operation.3,Program/Service Webpage.3,Name of physical location where services are provided..4,What is the physical location address where your entity/organization provides in-person services?.4,Phone Number.4,Hours of Operation.4,Program/Service Webpage.4,9. Does your entity/organization charge for its services?,10. To which of the following are your service available?,11. What language(s) does your entity/organization provide its services in? Please select all that apply. ,12. Does your entity/organization provide any of the following supports or services to other organizations? Please select all that apply.,13. Does your entity/organization charge for its services?,Date Submitted
Little Brothers Friends of the Elderly - San Francisco Chapter,"909 Hyde St, Ste 628","San Francisco, CA",CA,94109,'+14157717957,https://littlebrotherssf.org,Cathy Michalec,Executive Director,cmichalec@littlebrotherssf.org,Community-based Organization / Non-profit (501c3),,"Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices",,San Francisco,San Francisco (San Francisco County.),In-Person,,In-home,US,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Ethnic or Minority Communities",English,,No. Our services are offered free of cost.,12/19/25 10:07
Santa Clara County Library District,1370 Dell Ave,Campbell,CA,95008,'+14082932326,https://sccld.org,Marlene Iwamoto-Rocchild,Deputy County Librarian,marlene.iwamoto-rocchild@lib.sccgov.org,"Library, County Government",,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",,Santa Clara,,"Virtually, In-Person",https://www.sccld.org/locations,Gilroy Library,"350 W Sixth St, Gilroy, CA, 95020.0, US",'+14088428207,"M-W 1p-9p, Th-Ss 10a-6p, Su 1p-5p",https://sccld.org/locations/gilroy/,Cupertino Library,"10800 Torre Ave, Cupertino, CA, 95014.0, US",'+14084461677,"M-F 10a-9p, SA-Sa 10a-630p",https://sccld.org/locations/cupertino/,Los Altos Library,"13 S San Antonio Road, Los Altos, CA, 94022.0, US",'+16509487683,"M-Th 10a-9p, F-Su 10a-7p",https://sccld.org/locations/losaltos/,Milpitas Library,"160 North Main Street, Milpitas, CA, 95035.0, US",'+14082621171,"M-Th 10a-9p, F-Su 10a-7p",https://sccld.org/locations/milpitas/,Morgan Hill Library,"660 West Main Ave, Morgan Hill, CA, 95037.0, US",'+14087793196,"M-W 12n-9p, T-Sa 10a-6p, Su 1p-5p",https://sccld.org/locations/morganhill/,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish",Information sharing,No. Our services are offered free of cost.,12/19/25 9:51
Service Center for Independent Life (SCIL),107 Spring St,Claremont,CA,91711,'+19096216722,https://www.scil-ilc.org,Larry Grable,Executive Director,larry@scil-ilc.org,Community-based Organization / Non-profit (501c3),,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital literacy & skills training, Technical support, Public Wi-Fi, Computer center(s)",,"Los Angeles, San Bernardino",,In-Person,,SCIL,"107 Spring St, Claremont, CA, 91711.0, US",'+19096216722,8-4:30,https://www.scil-ilc.org,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish, Mandarin, Vietnamese, Cantonese",Partnership opportunities,No. Our services are offered free of cost.,12/19/25 9:45
HACLA (Housing Authority of the City of Los Angeles),2600 Wilshire Blvd,Los Angeles,CA,90057,'+18334225248,https://www.hacla.org/en,Katherine Romo,Program Development Coordinator,katherine.romo@hacla.org,"Public Housing Authority or Affordable Housing Organization, Local or Regional Authority",,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",,Los Angeles,Los Angeles (Los Angeles County.),"Virtually, In-Person",https://www.hacla.org/en/digital-equity-and-education-teams,Avalon Gardens,"701 E. 88th Place, Los Angeles, CA, 90002.0, US",,12pm-5pm,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish","Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,12/18/25 16:43
Curry Senior Center,315 Turk Street,San Francisco,CA,94102,'+14159173410,https://curryseniorcenter.org,Phillip Gerson,Arts and Technology Program Manager,pgerson@curryseniorcenter.org,"Community-based Organization / Non-profit (501c3), Other",,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",,,,"Virtually, In-Person",https://curryseniorcenter.org,Curry Senior Center,"520 Turk Street, San Francisco, CA, 94102.0, US",'+14158293240,M-Fri; 9am to 4pm,https://curryseniorcenter.org,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Tagalog, Mandarin, Vietnamese, Cantonese, Farsi, Russian, Other, Tenderloin neighborhood within the city of San Francisco","Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,12/18/25 15:54
"Loaves, Fishes & Computers",830 Park Row,Salinas,CA,93901,'+18313939260,https://lfctech.org,Arlene Krebs,Chair Emeritus & Director,arlene@lfctech.org,Community-based Organization / Non-profit (501c3),,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",,"Monterey, San Benito, Santa Cruz",,"Virtually, In-Person",https://lfctech.org,LFC Headquarters,"830 Park Row, Salinas, CA, 93901.0, US",'+18313939260,9am-5om Tues-Saturday,https://lfctech.org,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish","Partnership opportunities, Information sharing, Other, LFC teaches digital literacy skills and provides computers at low-to-no cost throughout Monterey County with partnering organizations & schools",Yes. We charge a fee for our services.,12/18/25 15:45
Catholic Charities of Santa Clara County,4 Wabash Ave,San Jose,CA,95128,'+16696770326,https://www.ccscc.org,Leticia Fernandez,Program Manager,lfernandez@catholicchariteisscc.org,Community-based Organization / Non-profit (501c3),,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Public Wi-Fi, Computer center(s)",,,,In-Person,,Luther Burbank FRC,"4 Wabash Ave, San Jose, CA, 95128.0, US",'+16696770326,"Wed. 12:30 pm-4:30pm, Thursday 9am-5pm,Friday 9am-5pm",https://www.ccscc.org,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Vietnamese",,No. Our services are offered free of cost.,12/18/25 14:30
"Connected Home Living, Inc.",2670 S. White Road,San Jose,CA,95148,'+18003117859,https://www.connectedhomeliving.com,Neil Tantingco,CEO,neil@connectedhomeliving.com,For-Profit Corporation or Business,,Digital navigation (in-person or virtual/call center),,,,Virtually,https://www.connectedhomeliving.com,,,,,,,,,,,,,,,,,,,,,,,,,,Yes. We charge a fee for our services and it’s more than $25.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish, Tagalog, Mandarin, Vietnamese, Korean, Cantonese, Armenian, Farsi, Arabic, Hindi, Russian, Japanese, Punjabi, French, Khmer","Train-the-trainer, Partnership opportunities, Information sharing",Yes. We charge a fee for our services.,12/18/25 13:38
yüda ayuda,2405 Hilo Lane,Ceres,CA,95350,'+12096817300,https://www.yuda.io/,Karlha Arias,Co-CEO,info@yuda.io,"Community-based Organization / Non-profit (501c3), Digital Equity Coalition",,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Online educational resources, Workforce development resources",,"Merced, San Joaquin, Stanislaus",,In-Person,,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish","Train-the-trainer, Partnership opportunities, Collective action, Information sharing",Yes. We charge a fee for our services.,12/18/25 13:31
Los Angeles County Parks and Recreation Department,1000 S. Fremont Avenue,Alhambra,CA,91803,'+16265885150,https://parks.lacounty.gov/,Moises Evangelista,Information Technology Business Analyst I,mevangelista@parks.lacounty.gov,"Other, County Government",,"Digital literacy & skills training, Free/Low-cost devices, Public Wi-Fi",,,,In-Person,,Varies,"Varies, Varies, US",,Varies,https://parks.lacounty.gov/,Varies,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish",,No. Our services are offered free of cost.,12/18/25 11:23
tribalresourcecenter.net,45120 El Ranchito Rd,Aguanga,CA,92536,'+16513566266,https://tribalresourcecenter.net,Matthew Rantanen,Lead,matt@waskawiwin.org,Foundation / Philanthropic Organization,,"Digital literacy & skills training, Technical support, Online educational resources, Workforce development resources",,,,Virtually,https://tribalresourcecenter.net,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Other","English, Other, National",Information sharing,No. Our services are offered free of cost.,12/18/25 10:17
Waskawiwin,45120 El Ranchito Rd,Aguanga,CA,92536,'+16513566266,https://waskawiwin.org,Matthew Rantanen,President/CEO,matt@waskawiwin.org,Foundation / Philanthropic Organization,,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Workforce development resources",,,,In-Person,,"Events hosted at Multiple Tribal Reservations, based on scheduling, and a location in SoCal regularly as scheduled on the website.","TBD, based on scheduled events. Please see waskawiwin.org for announced locations for 2026., CA, US",'+16513566266,Scheduled on waskawiwin.org,https://waskawiwin.org,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Other",English,"Organizational training, Train-the-trainer, Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,12/18/25 9:54
Self-Help for the Elderly,"731 Sansome Street, Suite 100",San Francisco,CA,94111-1725,'+14156777600,https://www.selfhelpelderly.org/,Winnie Yu,Chief Programs Officer,winniey@selfhelpelderly.org,"Community-based Organization / Non-profit (501c3), Other, Other, community-based organization",,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Computer center(s), Online educational resources, Workforce development resources",,San Francisco,San Francisco (San Francisco County.),"Virtually, In-Person",https://www.selfhelpelderly.org/our-services/digitallearning,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, community-based organization","English, Spanish, Tagalog, Mandarin, Vietnamese, Korean, Cantonese, Russian",,No. Our services are offered free of cost.,12/17/25 20:49
Felton Institute,1005 Atlantic Ave,San Francisco,CA,94501-6200,'+14154747310,https://felton.org,Tieu Ly,Tech Squad Director,tly@felton.org,Community-based Organization / Non-profit (501c3),,"Locating low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support",,San Francisco,San Francisco (San Francisco County.),In-Person,,Visitacion Community Center,"66 Raymond Ave, San Francisco, CA 94134, San Francisco, CA, 94134.0, US",,"Wed. 11-2pm, Thursday, 9:30-11:30am",,The Village,"1099 Sunnydale Ave., 3rd Floor, San Francisco, CA 94134, San Francisco, CA, 94134.0, US",,"THursday, 12-2pm",,Richmond Senior Center,"6221 Geary Blvd. 3rd Floor, San Francisco, CA 94121, San Francisco, CA, 94121.0, US",,"Tuesday, 12:30-2pm",,OMI Senior Center,"2616 Ocean Ave,, San Francisco, CA 94132, San Francisco, CA, 94132.0, US",,Monday/Wednesday 9:00-10:30AM,,IT Bookman Community Center,"446 Randolph St., San Francisco, CA 94132, San Francisco, CA, 94132.0, US",,"Monday, 11-1pm, Tuesday, 3-5pm",,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Mandarin, Cantonese",Partnership opportunities,No. Our services are offered free of cost.,12/17/25 16:59
Los Angeles County Department of Parks and Recreation,1000 South Fremont,Alhambra,CA,91803,'+16266813030,https://parks.lacounty.gov,Terence Davsi,CIO,tadavis@parks.lacounty.gov,County Government,,"Public Wi-Fi, Computer center(s)",,Los Angeles,,In-Person,,LA County park locations,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Tagalog, Mandarin",,No. Our services are offered free of cost.,12/17/25 16:43
City of Lynwood,11330 Bullis Rd.,Lynwood,CA,90262,'+13106030220,https://lynwoodca.gov,Ruben Landeros,Systems Analyst,rlanderos@lynwoodca.gov,City Government,,"Public Wi-Fi, Computer center(s)",,Los Angeles,Lynwood (Los Angeles County.),In-Person,,Lynwood City Hall,"11330 Bullis Rd., Lynwood, CA, 90262.0, US",,7am to 6pm Mon-Thurs,https://lynwoodca.gov,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish",,No. Our services are offered free of cost.,12/17/25 15:56
Kollab Youth Workforce Development Program,"578 Washington Blvd., #199",MARINA DEL REY,CA,90292,'+13103032869,https://kollabYouth.org,Mary Hewitt,"CEO, Founder",mhewitt@kollabyouth.org,Community-based Organization / Non-profit (501c3),,"Locating low-cost internet service programs, Digital literacy & skills training, Free/Low-cost devices, Free/Low-cost hotspots, Online educational resources, Workforce development resources",,"Los Angeles, Orange, Riverside, San Bernardino, San Diego, Ventura",,"Virtually, In-Person",https://kollabyouth.org,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Ethnic or Minority Communities, Rural Communities",English,"Partnership opportunities, Information sharing",No. Our services are offered free of cost.,12/17/25 15:46
Binational of Central California,3302 N Blackstone Ave. Suite 221,Fresno,CA,93726,'+15599054549,https://binationalca.org/,Aracely Contreras,Program Manager,aracely@binationalca.org,Community-based Organization / Non-profit (501c3),,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Public Wi-Fi, Workforce development resources",,"Fresno, Madera, Merced",,In-Person,,Manchester Center,"3302 N Blackstone Ave. Suite 221, CA, 93726.0, US",'+15599054549,9am - 5pm,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish",,No. Our services are offered free of cost.,12/17/25 13:38
MNC INSPIRING SUCCESS,362 CAPP STREET,SAN FRANCISCO,CA,94110,'+14152067750,https://WWW.MNCSF.ORG,JOANA MATTERO,ASSOCIATE DIRECTOR,joana.mattero@mncsf.org,"Community-based Organization / Non-profit (501c3), City Government, Digital Equity Coalition",,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Computer center(s)",,,,"Virtually, In-Person",,,"362 CAPP STREET, CA, 94110.0, US",'+14152067750,MONDAY-SATURDAY 9AM-5PM,https://WWW.MNCSF.ORG,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish",Collective action,No. Our services are offered free of cost.,12/17/25 11:10
Southern California Association of Governments,900 Wilshire Blvd,Los Angeles,CA,90017,'+12136301508,https://scag.ca.gov/,Roland Ok,Planning Supervisor,ok@scag.ca.gov,Council or Metropolitan Planning Organization,,Technical support,,"Imperial, Los Angeles, Orange, Riverside, San Bernardino, Ventura",,Virtually,https://scag.ca.gov/broadband,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities",English,Information sharing,No. Our services are offered free of cost.,12/17/25 10:37
Community Living Campaign,1663 Mission St,San Francisco,CA,94103,'+14158211003,https://sfcommunityliving.org/,Andy Burns,Senior Director of Programs,andy@sfcommunityliving.org,Community-based Organization / Non-profit (501c3),,"Locating low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Public Wi-Fi, Computer center(s)",,San Francisco,,"Virtually, In-Person",https://sfcommunityliving.org/events/list/?tribe_eventcategory%5B0%5D=6,Varies,,,Varies,https://sfcommunityliving.org/events/list/?tribe_eventcategory%5B0%5D=6,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Individuals with Disabilities","English, Spanish, Cantonese","Partnership opportunities, Information sharing",No. Our services are offered free of cost.,12/17/25 9:28
The Arc San Francisco,1500 Howard Street,San Francisco,CA,94103,'+14152557200,https://www.thearcsf.org,Jason McMonagle,Grants Manager,jmcmonagle@thearcsf.org,Community-based Organization / Non-profit (501c3),,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Online educational resources, Workforce development resources",,"Marin, San Francisco, San Mateo",,"Virtually, In-Person",https://www.thearcsfhub.org,The Arc San Francisco,"1500 Howard Street, San Francisco, CA, 94103.0, US",'+14152557200,"9:00 AM - 7:00 PM (varies by program, with some starting at 10:00 AM)",https://www.thearcsf.org,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Other","English, Spanish, Tagalog, Mandarin, Vietnamese, Cantonese, Russian, Other","Digital equity grant writing, Train-the-trainer, Partnership opportunities, Information sharing, Other, Technical support services to other organizations through their SF Connected program, Collaborative staff team support and leadership structures for network coordination, Community outreach and capacity building for partner organizations, and Technology help clinic services that are ""open to all San Francisco residents with disabilities.",No. Our services are offered free of cost.,12/17/25 9:11
San Diego Futures Foundation,4283 El Cajon Blvd,San Diego,CA,92105,'+16195009330,https://sdfutures.org/,Brandon Harrison,Executive Director,brandon@sdfutures.org,Community-based Organization / Non-profit (501c3),,"Digital literacy & skills training, Technical support, Free/Low-cost devices",,San Diego,"Chula Vista (San Diego County.), Escondido (San Diego County.), Imperial Beach (San Diego County.), National City (San Diego County.), San Diego (San Diego County.)","Virtually, In-Person",https://sdfutures.org/digital-skills-classes-1,San Diego Futures Foundation,"4283 El Cajon Blvd. Suite 220, San Diego, CA, 92105.0, US",'+16195009330,9am-4pm,https://sdfutures.org/digital-skills-classes-1,7 different locations. deem@state.ca.gov for instructions for bulk upload.,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Russian","Train-the-trainer, Partnership opportunities, Information sharing, Other, We offer free refurbished computers to non-profit organizations withing the City of San Diego",No. Our services are offered free of cost.,12/17/25 9:11
CENIC,16700 Valley View Avenue,La Mirada,CA,90638,'+17142203438,https://cenic.org/,Sherilyn Evans,"SVP & Sr Advisor, Digital Equity & Access",sevans@cenic.org,"Community-based Organization / Non-profit (501c3), Regional Broadband Consortia",,Technical support,,,,Virtually,https://cenic.org/,,,,,,,,,,,,,,,,,,,,,,,,,,Yes. We charge a fee for our services and it’s more than $25.,Yes,English,"Partnership opportunities, Collective action, Information sharing, Other, consultative expertise in broadband networks",Yes. We charge a fee for our services.,12/17/25 9:07
San Francisco Tech Council,"c/o Community Living Campaign, 1663 Mission Street",San Francisco,CA,94103,'+14158211003,https://www.sftechcouncil.org,Andrew Broderick,Co-Director,andrew@sftechcouncil.org,Digital Equity Coalition,,"Enrollment assistance in low-cost internet service programs, Digital literacy & skills training, Technical support",,San Francisco,San Francisco (San Francisco County.),In-Person,,"Pop-up events in different community settings (ie, public libraries, community centers, housing sites)",,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Individuals with Disabilities","English, Spanish, Tagalog, Mandarin, Vietnamese, Cantonese, Russian","Digital equity grant writing, Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,12/16/25 21:47
Computers 2 Kids,8324 Miramar Mall,San Diego,CA,92121,'+18582009790,https://www.c2k.org,Cheri Pierre,CEO,info@c2k.org,Community-based Organization / Non-profit (501c3),,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Online educational resources, Workforce development resources",,,,"Virtually, In-Person",https://www.c2k.org,"C2K Warehouse, San Diego Public Library Branches (Digital Navigators)","8324 Miramar Mall, San Diego, CA, 92121.0, US",'+18582009788,"9-5:30 Monday - Friday, 9:4 Saturdays",https://c2k.org/programs-services/,,,,,,,,,,,,,,,,,,,,,Yes. We charge a fee for our services and it’s more than $25.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish","Mutual aid (financial), Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,12/16/25 16:06
Senior Tech Connect,5010 Codorniz Way Unit 9,Oceanside,CA,92057,'+15164920170,https://www.srtechconnect.com,Cole Samaroo,CEO / Co-Founder,coles@srtechconnect.com,"Other, For-Profit Corporation or Business",,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Online educational resources, Workforce development resources",,"Orange, San Diego",,"Virtually, In-Person",https://www.eventbrite.com/o/senior-tech-connect-114531631381,"All San Diego County Senior Centers (Country Club Senior Center, El Corazone Senior Center, San Marcos Senior Center, Imperial Beach Senior Center, TierraSanta Village, Park Avenue Senior Center, Park de la Cruz Senior Center)","3302 Village Commercial Dr, Oceanside, CA, 92056.0, US",'+15164920170,9am-5pm,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish, Tagalog","Organizational training, Train-the-trainer, Partnership opportunities",Yes. We charge a fee for our services.,12/16/25 14:45
Digital Equity Coalition for Santa Barbara County,c/o Santa Barbara Foundation,Santa Barbara,CA,93101,'+18059631873,https://sbcdec.org,Beatriz Garcia,Director of Strategic Initiatives and Partnerships,bgarcia@sbfoundation.org,Digital Equity Coalition,,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",,Santa Barbara,,Virtually,https://sbcdec.org,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish","Organizational training, Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,12/16/25 14:14
Broadband Consortium Pacific Coast,4001 Mission Oaks Blvd,Camarillo,CA,93012,'+18054099159,https://pcbroadband.org,Shelby Arthur,Tri-County Coordinator,shelby@edcollaborative.com,Regional Broadband Consortia,,Locating low-cost internet service programs,,"San Luis Obispo, Santa Barbara, Ventura",,Virtually,https://pcbroadband.org,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities",English,"Organizational training, Partnership opportunities, Collective action, Information sharing, Other, Infrastructure Deployment Analysis, GIS mapping support for digital inclusion efforts",No. Our services are offered free of cost.,12/16/25 14:05
Alliance for a Better Community,201 S. Figueroa Street,Los Angeles,CA,90012,'+12132672144,https://afabc.org,Erika Cervantes,Director of Policy & Advocacy,erika@afabc.org,Community-based Organization / Non-profit (501c3),,Digital literacy & skills training,,Los Angeles,,In-Person,,In Southeast Los Angeles and the San Fernando Valley. Exact physical locations change.,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish","Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,12/16/25 13:34
