Name of Organization,Organization Address,Organization City,"Organization State
(Drop-down options)",Organization Zip/Postal Code,Business Phone Number,Hours of Operation,Webpage,Name of Point of Contact,Position/Title,Business Email Address,"Type of Organization
(Response options in Question 3 of the Read-Me.)",What digital inclusion service(s) does your entity/organization provide to individuals? (Response options in Question 4 of the Read-Me.),"What is your entity/organization's service area?
(Drop-down options)",Please indicate all the counties in which you provide services.(Response options in Question 6 of the Read-Me).,Please indicate all the cities in which you provide services.,"In-Person or Virtual Services
(Drop-down options)","Does your entity/organization charge for its services?
(Drop-down options)","Does your entity/organization serve individuals at or below 150% of the Federal Poverty Level?
(Drop-down options)","If yes, does your entity/organization serve any additional populations? (Response options in Question 10a of the Read-Me).",What language(s) does your entity/organization provide its services in?,Does your entity/organization provide any of the following support or services to other organizations? (Response options in Question 12 of the Read-Me.),"Does your entity/organization charge for its services?
(Drop-down options)",,,
Fresno County Public Library - Firebaugh Library,900 O Street,Firebaugh,CA,93622,559-600-9274,"M-Th 10am-2pm, 3pm-6pm, F 10am-2pm, 3pm-5pm",https://www.fresnolibrary.org/index.html,Fae Giffen,Principal Librarian,fae.giffen@fresnolibrary.org,Library,Public Wi-Fi/Computer center(s)/Online educational resources/Workforce development resources,County-wide or across multiple counties,Fresno County,All,Both,No,Yes,"Aging Individuals (Age 60+)/Veterans/Individuals with Disabilities/Individuals with Language Barriers (Limited English Proficiency individuals, etc.)/Ethnic or Minority Communities/Rural Communities",English,Information sharing,No,,,
Fresno County Public Library - Fowler Library,306 S 7th Street,Fowler,CA,93625,559-600-9281,M-Th 9am-7pm Fri & Sa 9am-5pm,https://www.fresnolibrary.org/index.html,Fae Giffen,Principal Librarian,fae.giffen@fresnolibrary.org,Library,Public Wi-Fi/Computer center(s)/Online educational resources/Workforce development resources,County-wide or across multiple counties,Fresno County,All,Both,No,Yes,"Aging Individuals (Age 60+)/Veterans/Individuals with Disabilities/Individuals with Language Barriers (Limited English Proficiency individuals, etc.)/Ethnic or Minority Communities/Rural Communities",English,Information sharing,No,,,
Fresno County Public Library - Fresno Central Library,2420 Mariposa Street,Fresno,CA,93721,559-600-7323,M-Th 9am-6pm F & Sa 9am-5pm Su 12pm-5pm,https://www.fresnolibrary.org/index.html,Fae Giffen,Principal Librarian,fae.giffen@fresnolibrary.org,Library,Public Wi-Fi/Computer center(s)/Online educational resources/Workforce development resources,County-wide or across multiple counties,Fresno County,All,Both,No,Yes,"Aging Individuals (Age 60+)/Veterans/Individuals with Disabilities/Individuals with Language Barriers (Limited English Proficiency individuals, etc.)/Ethnic or Minority Communities/Rural Communities",English,Information sharing,No,,,
Fresno County Public Library - Gillis Library,629 W Dakota Avenue,Fresno,CA,93705,559-600-9915,M-Th 9am-7pm Fri & Sa 9am-5pm,https://www.fresnolibrary.org/index.html,Fae Giffen,Principal Librarian,fae.giffen@fresnolibrary.org,Library,Public Wi-Fi/Computer center(s)/Online educational resources/Workforce development resources,County-wide or across multiple counties,Fresno County,All,Both,No,Yes,"Aging Individuals (Age 60+)/Veterans/Individuals with Disabilities/Individuals with Language Barriers (Limited English Proficiency individuals, etc.)/Ethnic or Minority Communities/Rural Communities",English,Information sharing,No,,,
Fresno County Public Library - Kerman Library,15081 W Kearney Plaza,Kerman,CA,93630,559-846-8804,M-Th 10am-6pm F 10am-5pm Sa 10am-2pm ,https://www.fresnolibrary.org/index.html,Fae Giffen,Principal Librarian,fae.giffen@fresnolibrary.org,Library,Public Wi-Fi/Computer center(s)/Online educational resources/Workforce development resources,County-wide or across multiple counties,Fresno County,All,Both,No,Yes,"Aging Individuals (Age 60+)/Veterans/Individuals with Disabilities/Individuals with Language Barriers (Limited English Proficiency individuals, etc.)/Ethnic or Minority Communities/Rural Communities",English,Information sharing,No,,,
Fresno County Public Library - Kingsburg Library,1399 Draper Street,Kingsburg,CA,93631,559-897-3710,M 10am-6pm T 12pm-8pm W & Th 10-6pm F 12pm-4pm Sa 10am-2pm,https://www.fresnolibrary.org/index.html,Fae Giffen,Principal Librarian,fae.giffen@fresnolibrary.org,Library,Public Wi-Fi/Computer center(s)/Online educational resources/Workforce development resources,County-wide or across multiple counties,Fresno County,All,Both,No,Yes,"Aging Individuals (Age 60+)/Veterans/Individuals with Disabilities/Individuals with Language Barriers (Limited English Proficiency individuals, etc.)/Ethnic or Minority Communities/Rural Communities",English,Information sharing,No,,,
Fresno County Public Library - Laton Library,6313 DeWoody,Laton,CA,93242,559-923-4554,T-Th 2pm-6pm Sa 10am-2pm,https://www.fresnolibrary.org/index.html,Fae Giffen,Principal Librarian,fae.giffen@fresnolibrary.org,Library,Public Wi-Fi/Computer center(s)/Online educational resources/Workforce development resources,County-wide or across multiple counties,Fresno County,All,Both,No,Yes,"Aging Individuals (Age 60+)/Veterans/Individuals with Disabilities/Individuals with Language Barriers (Limited English Proficiency individuals, etc.)/Ethnic or Minority Communities/Rural Communities",English,Information sharing,No,,,
Fresno County Public Library - Leo Politi Library,5771 N First Street,Fresno,CA,93710,559-600-0840,M-Th 9am-7pm Fri & Sa 9am-5pm,https://www.fresnolibrary.org/index.html,Fae Giffen,Principal Librarian,fae.giffen@fresnolibrary.org,Library,Public Wi-Fi/Computer center(s)/Online educational resources/Workforce development resources,County-wide or across multiple counties,Fresno County,All,Both,No,Yes,"Aging Individuals (Age 60+)/Veterans/Individuals with Disabilities/Individuals with Language Barriers (Limited English Proficiency individuals, etc.)/Ethnic or Minority Communities/Rural Communities",English,Information sharing,No,,,
Fresno County Public Library - Mendota Library,1246 Belmont Avenue,Mendota,CA,93640,559-600-9291,M-Th 10am-6pm F 10am-4pm Sa 10am-2pm,https://www.fresnolibrary.org/index.html,Fae Giffen,Principal Librarian,fae.giffen@fresnolibrary.org,Library,Public Wi-Fi/Computer center(s)/Online educational resources/Workforce development resources,County-wide or across multiple counties,Fresno County,All,Both,No,Yes,"Aging Individuals (Age 60+)/Veterans/Individuals with Disabilities/Individuals with Language Barriers (Limited English Proficiency individuals, etc.)/Ethnic or Minority Communities/Rural Communities",English,Information sharing,No,,,
Fresno County Public Library - Mosqueda Library,4670 E Butler Avenue,Fresno,CA,93702,559-600-4072,"T-Th 10am-12pm, 1pm-6pm F 10am-12pm, 1pm-5pm Sa 10am-2pm",https://www.fresnolibrary.org/index.html,Fae Giffen,Principal Librarian,fae.giffen@fresnolibrary.org,Library,Public Wi-Fi/Computer center(s)/Online educational resources/Workforce development resources,County-wide or across multiple counties,Fresno County,All,Both,No,Yes,"Aging Individuals (Age 60+)/Veterans/Individuals with Disabilities/Individuals with Language Barriers (Limited English Proficiency individuals, etc.)/Ethnic or Minority Communities/Rural Communities",English,Information sharing,No,,,
Fresno County Public Library - Orange Cove Library,815 Park Blvd,Orange Cove,CA,93646,559-600-9292,M-W 10am-6pm Th 12pm-8pm F & Sa10am-2pm ,https://www.fresnolibrary.org/index.html,Fae Giffen,Principal Librarian,fae.giffen@fresnolibrary.org,Library,Public Wi-Fi/Computer center(s)/Online educational resources/Workforce development resources,County-wide or across multiple counties,Fresno County,All,Both,No,Yes,"Aging Individuals (Age 60+)/Veterans/Individuals with Disabilities/Individuals with Language Barriers (Limited English Proficiency individuals, etc.)/Ethnic or Minority Communities/Rural Communities",English,Information sharing,No,,,
Fresno County Public Library - Parlier Library,1130 E. Parlier,Parlier,CA,93648,559-646-3835,T-Th 10am-6pm F 10am-5pm Sa 10am-2pm,https://www.fresnolibrary.org/index.html,Fae Giffen,Principal Librarian,fae.giffen@fresnolibrary.org,Library,Public Wi-Fi/Computer center(s)/Online educational resources/Workforce development resources,County-wide or across multiple counties,Fresno County,All,Both,No,Yes,"Aging Individuals (Age 60+)/Veterans/Individuals with Disabilities/Individuals with Language Barriers (Limited English Proficiency individuals, etc.)/Ethnic or Minority Communities/Rural Communities",English,Information sharing,No,,,
Fresno County Public Library - Piedra Library,25385 Trimmer Springs Road,Sanger,CA,93657,559-787-3266,T-Th 2pm-6pm Sa 10am-2pm,https://www.fresnolibrary.org/index.html,Fae Giffen,Principal Librarian,fae.giffen@fresnolibrary.org,Library,Public Wi-Fi/Computer center(s)/Online educational resources/Workforce development resources,County-wide or across multiple counties,Fresno County,All,Both,No,Yes,"Aging Individuals (Age 60+)/Veterans/Individuals with Disabilities/Individuals with Language Barriers (Limited English Proficiency individuals, etc.)/Ethnic or Minority Communities/Rural Communities",English,Information sharing,No,,,
Fresno County Public Library - Pinedale Library,7170 N San Pablo Avenue,Pinedale,CA,93650,559-439-0486,"M-Th 10am-12pm, 1pm-6pm Sa 10am-2pm",https://www.fresnolibrary.org/index.html,Fae Giffen,Principal Librarian,fae.giffen@fresnolibrary.org,Library,Public Wi-Fi/Computer center(s)/Online educational resources/Workforce development resources,County-wide or across multiple counties,Fresno County,All,Both,No,Yes,"Aging Individuals (Age 60+)/Veterans/Individuals with Disabilities/Individuals with Language Barriers (Limited English Proficiency individuals, etc.)/Ethnic or Minority Communities/Rural Communities",English,Information sharing,No,,,
Fresno County Public Library - Reedley Library,1027 E Street,Reedley,CA,93654,559-638-2818,M-Th 10am-8am F & Sa 10am-5pm,https://www.fresnolibrary.org/index.html,Fae Giffen,Principal Librarian,fae.giffen@fresnolibrary.org,Library,Public Wi-Fi/Computer center(s)/Online educational resources/Workforce development resources,County-wide or across multiple counties,Fresno County,All,Both,No,Yes,"Aging Individuals (Age 60+)/Veterans/Individuals with Disabilities/Individuals with Language Barriers (Limited English Proficiency individuals, etc.)/Ethnic or Minority Communities/Rural Communities",English,Information sharing,No,,,
Fresno County Public Library - Riverdale Library,20975 Malsbary Street,Riverdale,CA,93656,559-867-3381 ,"T-Th 10-2pm, 3pm-6pm F 10am-2pm, 3pm-5pm Sa 10am-3pm",https://www.fresnolibrary.org/index.html,Fae Giffen,Principal Librarian,fae.giffen@fresnolibrary.org,Library,Public Wi-Fi/Computer center(s)/Online educational resources/Workforce development resources,County-wide or across multiple counties,Fresno County,All,Both,No,Yes,"Aging Individuals (Age 60+)/Veterans/Individuals with Disabilities/Individuals with Language Barriers (Limited English Proficiency individuals, etc.)/Ethnic or Minority Communities/Rural Communities",English,Information sharing,No,,,
Fresno County Public Library - San Joaquin Library,8781 Main Street,San Joaquin,CA,93660,559-693-2171,M-Th 10am-6pm F 10am-5pm Sa 10am-2pm,https://www.fresnolibrary.org/index.html,Fae Giffen,Principal Librarian,fae.giffen@fresnolibrary.org,Library,Public Wi-Fi/Computer center(s)/Online educational resources/Workforce development resources,County-wide or across multiple counties,Fresno County,All,Both,No,Yes,"Aging Individuals (Age 60+)/Veterans/Individuals with Disabilities/Individuals with Language Barriers (Limited English Proficiency individuals, etc.)/Ethnic or Minority Communities/Rural Communities",English,Information sharing,No,,,
Fresno County Public Library - Sanger Library,1812 7th Street,Sanger,CA,93657,559-875-2435,M-Th 10am-8pm F & Sa 10am-5pm,https://www.fresnolibrary.org/index.html,Fae Giffen,Principal Librarian,fae.giffen@fresnolibrary.org,Library,Public Wi-Fi/Computer center(s)/Online educational resources/Workforce development resources,County-wide or across multiple counties,Fresno County,All,Both,No,Yes,"Aging Individuals (Age 60+)/Veterans/Individuals with Disabilities/Individuals with Language Barriers (Limited English Proficiency individuals, etc.)/Ethnic or Minority Communities/Rural Communities",English,Information sharing,No,,,
Fresno County Public Library - Selma Library,2200 Selma Street,Selma,CA,93662,559-896-3393,Closed for Remodeling,https://www.fresnolibrary.org/index.html,Fae Giffen,Principal Librarian,fae.giffen@fresnolibrary.org,Library,Public Wi-Fi/Computer center(s)/Online educational resources/Workforce development resources,County-wide or across multiple counties,Fresno County,All,Both,No,Yes,"Aging Individuals (Age 60+)/Veterans/Individuals with Disabilities/Individuals with Language Barriers (Limited English Proficiency individuals, etc.)/Ethnic or Minority Communities/Rural Communities",English,Information sharing,No,,,
Fresno County Public Library - Shaver Lake Library,41344 Tollhouse Road,Shaver Lake,CA,93664,559-841-3330,W & F 1pm-5pm Sa 10-2pm,https://www.fresnolibrary.org/index.html,Fae Giffen,Principal Librarian,fae.giffen@fresnolibrary.org,Library,Public Wi-Fi/Computer center(s)/Online educational resources/Workforce development resources,County-wide or across multiple counties,Fresno County,All,Both,No,Yes,"Aging Individuals (Age 60+)/Veterans/Individuals with Disabilities/Individuals with Language Barriers (Limited English Proficiency individuals, etc.)/Ethnic or Minority Communities/Rural Communities",English,Information sharing,No,,,
Fresno County Public Library - Sunnyside Library,5566 E Kings Canyon Road,Fresno,CA,93727,559-600-6594,"M-Th 9am-9pm, F & Sa 9am-5pm Su 12pm-5pm",https://www.fresnolibrary.org/index.html,Fae Giffen,Principal Librarian,fae.giffen@fresnolibrary.org,Library,Public Wi-Fi/Computer center(s)/Online educational resources/Workforce development resources,County-wide or across multiple counties,Fresno County,All,Both,No,Yes,"Aging Individuals (Age 60+)/Veterans/Individuals with Disabilities/Individuals with Language Barriers (Limited English Proficiency individuals, etc.)/Ethnic or Minority Communities/Rural Communities",English,Information sharing,No,,,
Fresno County Public Library - Teague Library,4718 N Polk Avenue,Fresno,CA,93722,559-275-3918,T-Th 2pm-6pm Sa 10am-2pm,https://www.fresnolibrary.org/index.html,Fae Giffen,Principal Librarian,fae.giffen@fresnolibrary.org,Library,Public Wi-Fi/Computer center(s)/Online educational resources/Workforce development resources,County-wide or across multiple counties,Fresno County,All,Both,No,Yes,"Aging Individuals (Age 60+)/Veterans/Individuals with Disabilities/Individuals with Language Barriers (Limited English Proficiency individuals, etc.)/Ethnic or Minority Communities/Rural Communities",English,Information sharing,No,,,
Fresno County Public Library - Tranquillity Library,25561 Williams Street,Tranquillity,CA,93668,559-600-6490,T-Th 2pm-6pm Sa 10am-2pm,https://www.fresnolibrary.org/index.html,Fae Giffen,Principal Librarian,fae.giffen@fresnolibrary.org,Library,Public Wi-Fi/Computer center(s)/Online educational resources/Workforce development resources,County-wide or across multiple counties,Fresno County,All,Both,No,Yes,"Aging Individuals (Age 60+)/Veterans/Individuals with Disabilities/Individuals with Language Barriers (Limited English Proficiency individuals, etc.)/Ethnic or Minority Communities/Rural Communities",English,Information sharing,No,,,
Fresno County Public Library - West Fresno Library,188 E Cesar Chavez Blvd,Fresno,CA,93706,559-600-9277,M-Th 10-6pm F 10am-5pm,https://www.fresnolibrary.org/index.html,Fae Giffen,Principal Librarian,fae.giffen@fresnolibrary.org,Library,Public Wi-Fi/Computer center(s)/Online educational resources/Workforce development resources,County-wide or across multiple counties,Fresno County,All,Both,No,Yes,"Aging Individuals (Age 60+)/Veterans/Individuals with Disabilities/Individuals with Language Barriers (Limited English Proficiency individuals, etc.)/Ethnic or Minority Communities/Rural Communities",English,Information sharing,No,,,
Fresno County Public Library - Woodward Park Library,944 E Perrin Avenue,Fresno,CA,93720,559-600-3135,"M-Th 9am-9pm, F & Sa 9am-5pm Su 12pm-5pm",https://www.fresnolibrary.org/index.html,Fae Giffen,Principal Librarian,fae.giffen@fresnolibrary.org,Library,Public Wi-Fi/Computer center(s)/Online educational resources/Workforce development resources,County-wide or across multiple counties,Fresno County,All,Both,No,Yes,"Aging Individuals (Age 60+)/Veterans/Individuals with Disabilities/Individuals with Language Barriers (Limited English Proficiency individuals, etc.)/Ethnic or Minority Communities/Rural Communities",English,Information sharing,No,,,
"Glendale Library, Arts & Culture - Brand Library & Art Center",1601 W Mountain St.,Glendale,CA,91201,(818) 548-2051,,https://www.glendaleca.gov/government/departments/library-arts-culture,Lessa Pelayo-Lozada,Director,lpelayolozada@glendaleca.gov,Library,"Digital literacy & skills training, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources",Multiple cities,Los Angeles County,"Glendale, CA",Both,No,Yes,"Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Armenian",Partnership opportunities,,,,
"Glendale Library, Arts & Culture - Casa Verdugo Library",1151 N Brand Blvd,Glendale,CA,91202,(818) 548-2047,,https://www.glendaleca.gov/government/departments/library-arts-culture,Lessa Pelayo-Lozada,Director,lpelayolozada@glendaleca.gov,Library,"Digital literacy & skills training, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources",Multiple cities,Los Angeles County,"Glendale, CA",Both,No,Yes,"Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Armenian",Partnership opportunities,,,,
"Glendale Library, Arts & Culture - Chevy Chase Library",3301 E. Chevy Chase Dr.,Glendale,CA,91206,(818) 548-2046,,https://www.glendaleca.gov/government/departments/library-arts-culture,Lessa Pelayo-Lozada,Director,lpelayolozada@glendaleca.gov,Library,"Digital literacy & skills training, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources",Multiple cities,Los Angeles County,"Glendale, CA",Both,No,Yes,"Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Armenian",Partnership opportunities,,,,
"Glendale Library, Arts & Culture - Glendale Central Library",222 E. Harvard St.,Glendale,CA,91205,(818) 548-2021,,https://www.glendaleca.gov/government/departments/library-arts-culture,Lessa Pelayo-Lozada,Director,lpelayolozada@glendaleca.gov,Library,"Digital literacy & skills training, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources",Multiple cities,Los Angeles County,"Glendale, CA",Both,No,Yes,"Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Korean, Armenian",Partnership opportunities,,,,
"Glendale Library, Arts & Culture - Grandview Library",1535 5th St.,Glendale,CA,91201,(818) 548-2049,,https://www.glendaleca.gov/government/departments/library-arts-culture,Lessa Pelayo-Lozada,Director,lpelayolozada@glendaleca.gov,Library,"Digital literacy & skills training, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources",Multiple cities,Los Angeles County,"Glendale, CA",Both,No,Yes,"Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Armenian",Partnership opportunities,,,,
"Glendale Library, Arts & Culture - Library Connection at Adams Square",1100 E. Chevy Chase Dr.,Glendale,CA,91205,(818) 548-3833,,https://www.glendaleca.gov/government/departments/library-arts-culture,Lessa Pelayo-Lozada,Director,lpelayolozada@glendaleca.gov,Library,"Digital literacy & skills training, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources",Multiple cities,Los Angeles County,"Glendale, CA",Both,No,Yes,"Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Armenian",Partnership opportunities,,,,
"Glendale Library, Arts & Culture - Montrose Library",2465 Honolulu Ave.,Glendale,CA,91020,(818) 548-2048,,https://www.glendaleca.gov/government/departments/library-arts-culture,Lessa Pelayo-Lozada,Director,lpelayolozada@glendaleca.gov,Library,"Digital literacy & skills training, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources",Multiple cities,Los Angeles County,"Glendale, CA",Both,No,Yes,"Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Armenian",Partnership opportunities,,,,
"Glendale Library, Arts & Culture - Pacific Park Library",501 S. Pacific Ave.,Glendale,CA,91204,(818) 548-3760,,https://www.glendaleca.gov/government/departments/library-arts-culture,Lessa Pelayo-Lozada,Director,lpelayolozada@glendaleca.gov,Library,"Digital literacy & skills training, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources",Multiple cities,Los Angeles County,"Glendale, CA",Both,No,Yes,"Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Armenian",Partnership opportunities,,,,
Golden Gate Senior Services - Castro Senior Center,110 Diamond Street,San Francisco,CA,94114,415-863-3507,M-F 9:00-2:00,https://www.sfhsa.org/services/disability-aging/community-activities/sf-connected/sf-connected-locations,DAS-OCP SF Connected,DAS OCP /SF Connected Program Team,"""SFConnected,  (HSA) (DSS)"" <sfconnected@sfgov.org>",Other: SF Connected Technology Lab hosted at non-Governmental Organization sites,Public Wi-Fi and Computer center,City-wide or across multiple cities,San Francisco,San Francisco,In-Person,No,Yes,"Aging Individuals (Age 60+),Veterans Individuals with Disabilities , Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","Other- SF Connected computer- interface languages (Chinese, English, Russian, Spanish, Vietnamese)
",Partnership opportunities,,,,
GoldenGate Senior Services - Richmond Senior Center,"6221 Geary Boulevard, 3rd Floor",San Francisco,CA,94121,415-752-6444,M-F 9:30 - 3:00,https://www.sfhsa.org/services/disability-aging/community-activities/sf-connected/sf-connected-locations,DAS-OCP SF Connected,DAS OCP /SF Connected Program Team,"""SFConnected,  (HSA) (DSS)"" <sfconnected@sfgov.org>",Other: SF Connected Technology Lab hosted at non-Governmental Organization sites,Public Wi-Fi and Computer center,City-wide or across multiple cities,San Francisco,San Francisco,In-Person,No,Yes,"Aging Individuals (Age 60+),Veterans Individuals with Disabilities , Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","Other- SF Connected computer- interface languages (Chinese, English, Russian, Spanish, Vietnamese)
",Partnership opportunities,,,,
HACLA - (Housing Authority of the City of Los Angeles),2600 Wilshire Blvd,Los Angeles,CA,90057,(833) 422-5248,Mon-Fri 12:00pm - 5:00pm,https://www.hacla.org/en/computer-labsdigital-libraries-old,Katherine Romo,Program Development Coordinator,katherine.romo@hacla.org,"Public Housing Authority or Affordable Housing Organization, Local or Regional Authority","Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Los Angeles,Los Angeles,Both,No,Yes,"Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish","Partnership opportunities, Collective action, Information sharing",No,,,
HACLA - Avalon Gardens,701 E. 88th Place,Los Angeles,CA,90002,,Mon-Fri 12:00pm - 5:00pm,https://www.hacla.org/en/computer-labsdigital-libraries-old,Katherine Romo,Program Development Coordinator,katherine.romo@hacla.org,"Public Housing Authority or Affordable Housing Organization, Local or Regional Authority","Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Los Angeles,Los Angeles,Both,No,Yes,"Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish","Partnership opportunities, Collective action, Information sharing",No,,,
HACLA - Gonzaque Village,1515 E. 105th Street,Los Angeles,CA,90002,,Mon-Fri 12:00pm - 5:00pm,https://www.hacla.org/en/computer-labsdigital-libraries-old,Katherine Romo,Program Development Coordinator,katherine.romo@hacla.org,"Public Housing Authority or Affordable Housing Organization, Local or Regional Authority","Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Los Angeles,Los Angeles,Both,No,Yes,"Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish","Partnership opportunities, Collective action, Information sharing",No,,,
HACLA - Imperial Courts,2245 E. 115th Street,Los Angeles,CA,90059,,Mon-Fri 12:00pm - 5:00pm,https://www.hacla.org/en/computer-labsdigital-libraries-old,Katherine Romo,Program Development Coordinator,katherine.romo@hacla.org,"Public Housing Authority or Affordable Housing Organization, Local or Regional Authority","Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Los Angeles,Los Angeles,Both,No,Yes,"Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish","Partnership opportunities, Collective action, Information sharing",No,,,
HACLA - Jordan Downs,9900 Grape Street,Los Angeles,CA,90059,,Mon-Fri 12:00pm - 5:00pm,https://www.hacla.org/en/computer-labsdigital-libraries-old,Katherine Romo,Program Development Coordinator,katherine.romo@hacla.org,"Public Housing Authority or Affordable Housing Organization, Local or Regional Authority","Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Los Angeles,Los Angeles,Both,No,Yes,"Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish","Partnership opportunities, Collective action, Information sharing",No,,,
HACLA - Mar Vista Gardens,4909 Marionwood Drive,Los Angeles,CA,90230,,Mon-Fri 12:00pm - 5:00pm,https://www.hacla.org/en/computer-labsdigital-libraries-old,Katherine Romo,Program Development Coordinator,katherine.romo@hacla.org,"Public Housing Authority or Affordable Housing Organization, Local or Regional Authority","Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Los Angeles,Los Angeles,Both,No,Yes,"Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish","Partnership opportunities, Collective action, Information sharing",No,,,
HACLA - Nickerson Gardens,1450 E. 114th Street,Los Angeles,CA,90059,,Mon-Fri 12:00pm - 5:00pm,https://www.hacla.org/en/computer-labsdigital-libraries-old,Katherine Romo,Program Development Coordinator,katherine.romo@hacla.org,"Public Housing Authority or Affordable Housing Organization, Local or Regional Authority","Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Los Angeles,Los Angeles,Both,No,Yes,"Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish","Partnership opportunities, Collective action, Information sharing",No,,,
