Name of Organization,Organization Address: Address Line 1,Organization Address: City,Organization Address: State,Organization Address: Zip/Postal Code,Business Phone No,Webpage,Name of Point of Contact,Position/Title,Business Email Address,Type of Organization,(For ISP only) Do you have a low-cost home internet service offer or subsidy?,4. What digital inclusion service(s) does your entity/organization provide to individuals? Please select all that apply.,5. What is your entity/organization's service area?,6. Please indicate all the counties in which you provide services.,7. Please indicate all the cities in which you provide services,8. How does your entity/organization provide its services? Select all that apply. ,Please provide the website URL where more information about your virtual program / service can be found.,Name of physical location where services are provided.,What is the physical location address where your entity/organization provides in-person services?,Phone Number,Hours of Operation,Program/Service Webpage,Name of physical location where services are provided..1,What is the physical location address where your entity/organization provides in-person services?.1,Phone Number.1,Hours of Operation.1,Program/Service Webpage.1,Name of physical location where services are provided..2,What is the physical location address where your entity/organization provides in-person services?.2,Phone Number.2,Hours of Operation.2,Program/Service Webpage.2,Name of physical location where services are provided..3,What is the physical location address where your entity/organization provides in-person services?.3,Phone Number.3,Hours of Operation.3,Program/Service Webpage.3,Name of physical location where services are provided..4,What is the physical location address where your entity/organization provides in-person services?.4,Phone Number.4,Hours of Operation.4,Program/Service Webpage.4,9. Does your entity/organization charge for its services?,10. To which of the following are your service available?,11. What language(s) does your entity/organization provide its services in? Please select all that apply.Â ,12. Does your entity/organization provide any of the following supports or services to other organizations? Please select all that apply.,13. Does your entity/organization charge for its services?,Date Submitted,lat,long,google_maps_url,physical_county
Riverside County Libraries - Calimesa Library,974 Calimesa Blvd. ,Calimesa,CA,92320,909-795-3198,https://www.rivlib.net/branch/calimesa,Ivan Aguirre ,Branch Manager,infocal@rivlib.net,Riverside County Libraries - Calimesa Library,,"Public Wi-Fi, Computer center(s)",County-wide or across multiple counties,Riverside,,In-Person,,Riverside County Libraries - Calimesa Library,Calimesa,909-795-3198,"Monday Closed, Tuesday 12:00 PM - 7:00 PM, Wednesday 12:00 PM - 7:00 PM, Thursday 12:00 PM - 7:00 PM, Friday 10:00 AM - 5:00 PM, Saturday 10:00 AM - 5:00 PM, Sunday Closed",https://www.rivlib.net/branch/calimesa,Riverside County Libraries - Calimesa Library,Calimesa,,"Monday Closed, Tuesday 12:00 PM - 7:00 PM, Wednesday 12:00 PM - 7:00 PM, Thursday 12:00 PM - 7:00 PM, Friday 10:00 AM - 5:00 PM, Saturday 10:00 AM - 5:00 PM, Sunday Closed",https://www.rivlib.net/branch/calimesa,Riverside County Libraries - Calimesa Library,Calimesa,,"Monday Closed, Tuesday 12:00 PM - 7:00 PM, Wednesday 12:00 PM - 7:00 PM, Thursday 12:00 PM - 7:00 PM, Friday 10:00 AM - 5:00 PM, Saturday 10:00 AM - 5:00 PM, Sunday Closed",https://www.rivlib.net/branch/calimesa,Riverside County Libraries - Calimesa Library,Calimesa,,"Monday Closed, Tuesday 12:00 PM - 7:00 PM, Wednesday 12:00 PM - 7:00 PM, Thursday 12:00 PM - 7:00 PM, Friday 10:00 AM - 5:00 PM, Saturday 10:00 AM - 5:00 PM, Sunday Closed",https://www.rivlib.net/branch/calimesa,Riverside County Libraries - Calimesa Library,Calimesa,,"Monday Closed, Tuesday 12:00 PM - 7:00 PM, Wednesday 12:00 PM - 7:00 PM, Thursday 12:00 PM - 7:00 PM, Friday 10:00 AM - 5:00 PM, Saturday 10:00 AM - 5:00 PM, Sunday Closed",https://www.rivlib.net/branch/calimesa,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities",,Partnership opportunities,No. Our services are offered free of cost.,,34.00171,-117.061725,"https://www.google.com/maps?q=34.00171,-117.061725",Riverside
Riverside County Libraries - Canyon Lake Library,31594 Railroad Canyon Rd,Canyon Lake,CA,92587,951-244-9181,http://www.rivlib.net/branch/canyon-lake,Celeste Dennis,Branch Manager,infocnl@rivlib.net,Riverside County Libraries - Canyon Lake Library,,"Public Wi-Fi, Computer center(s)",County-wide or across multiple counties,Riverside,,In-Person,,Riverside County Libraries - Canyon Lake Library,Canyon Lake,951-244-9181,"Monday Closed, Tuesday 12:00 PM - 7:00 PM, Wednesday 12:00 PM - 7:00 PM, Thursday 12:00 PM - 7:00 PM, Friday 10:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",http://www.rivlib.net/branch/canyon-lake,Riverside County Libraries - Canyon Lake Library,Canyon Lake,,"Monday Closed, Tuesday 12:00 PM - 7:00 PM, Wednesday 12:00 PM - 7:00 PM, Thursday 12:00 PM - 7:00 PM, Friday 10:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",http://www.rivlib.net/branch/canyon-lake,Riverside County Libraries - Canyon Lake Library,Canyon Lake,,"Monday Closed, Tuesday 12:00 PM - 7:00 PM, Wednesday 12:00 PM - 7:00 PM, Thursday 12:00 PM - 7:00 PM, Friday 10:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",http://www.rivlib.net/branch/canyon-lake,Riverside County Libraries - Canyon Lake Library,Canyon Lake,,"Monday Closed, Tuesday 12:00 PM - 7:00 PM, Wednesday 12:00 PM - 7:00 PM, Thursday 12:00 PM - 7:00 PM, Friday 10:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",http://www.rivlib.net/branch/canyon-lake,Riverside County Libraries - Canyon Lake Library,Canyon Lake,,"Monday Closed, Tuesday 12:00 PM - 7:00 PM, Wednesday 12:00 PM - 7:00 PM, Thursday 12:00 PM - 7:00 PM, Friday 10:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",http://www.rivlib.net/branch/canyon-lake,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities",,Partnership opportunities,No. Our services are offered free of cost.,,33.671309,-117.253862,"https://www.google.com/maps?q=33.671309,-117.253862",Riverside
Riverside County Libraries - Cathedral City Library,33520 Date Palm Drive,Cathedral City,CA,92234,760-328-4262,http://www.rivlib.net/branch/cathedral-city,Kristin Lehigh,Branch Manager,infocat@rivlib.net,Riverside County Libraries - Cathedral City Library,,"Public Wi-Fi, Computer center(s)",County-wide or across multiple counties,Riverside,,In-Person,,Riverside County Libraries - Cathedral City Library,Cathedral City,760-328-4262,"Monday Closed, Tuesday 12:00 PM - 7:00 PM, Wednesday 12:00 PM - 7:00 PM, Thursday 12:00 PM - 7:00 PM, Friday 10:00 AM - 5:00 PM, Saturday 10:00 AM - 5:00 PM, Sunday Closed",http://www.rivlib.net/branch/cathedral-city,Riverside County Libraries - Cathedral City Library,Cathedral City,,"Monday Closed, Tuesday 12:00 PM - 7:00 PM, Wednesday 12:00 PM - 7:00 PM, Thursday 12:00 PM - 7:00 PM, Friday 10:00 AM - 5:00 PM, Saturday 10:00 AM - 5:00 PM, Sunday Closed",http://www.rivlib.net/branch/cathedral-city,Riverside County Libraries - Cathedral City Library,Cathedral City,,"Monday Closed, Tuesday 12:00 PM - 7:00 PM, Wednesday 12:00 PM - 7:00 PM, Thursday 12:00 PM - 7:00 PM, Friday 10:00 AM - 5:00 PM, Saturday 10:00 AM - 5:00 PM, Sunday Closed",http://www.rivlib.net/branch/cathedral-city,Riverside County Libraries - Cathedral City Library,Cathedral City,,"Monday Closed, Tuesday 12:00 PM - 7:00 PM, Wednesday 12:00 PM - 7:00 PM, Thursday 12:00 PM - 7:00 PM, Friday 10:00 AM - 5:00 PM, Saturday 10:00 AM - 5:00 PM, Sunday Closed",http://www.rivlib.net/branch/cathedral-city,Riverside County Libraries - Cathedral City Library,Cathedral City,,"Monday Closed, Tuesday 12:00 PM - 7:00 PM, Wednesday 12:00 PM - 7:00 PM, Thursday 12:00 PM - 7:00 PM, Friday 10:00 AM - 5:00 PM, Saturday 10:00 AM - 5:00 PM, Sunday Closed",http://www.rivlib.net/branch/cathedral-city,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities",,Partnership opportunities,No. Our services are offered free of cost.,,33.804325,-116.457191,"https://www.google.com/maps?q=33.804325,-116.457191",Riverside
Riverside County Libraries - Coachella Library,1500 6th Street,Coachella,CA,92236,760-398-5148,http://www.rivlib.net/branch/coachella ,Brittany Tribulski ,Branch Manager,infocoa@rivlib.net,Riverside County Libraries - Coachella Library,,"Public Wi-Fi, Computer center(s)",County-wide or across multiple counties,Riverside,,In-Person,,Riverside County Libraries - Coachella Library,Coachella,760-398-5148,"Monday Closed, Tuesday 12:00 PM - 7:00 PM, Wednesday 12:00 PM - 7:00 PM, Thursday 12:00 PM - 7:00 PM, Friday 10:00 AM - 5:00 PM, Saturday 10:00 AM - 5:00 PM, Sunday Closed",http://www.rivlib.net/branch/coachella ,Riverside County Libraries - Coachella Library,Coachella,,"Monday Closed, Tuesday 12:00 PM - 7:00 PM, Wednesday 12:00 PM - 7:00 PM, Thursday 12:00 PM - 7:00 PM, Friday 10:00 AM - 5:00 PM, Saturday 10:00 AM - 5:00 PM, Sunday Closed",http://www.rivlib.net/branch/coachella ,Riverside County Libraries - Coachella Library,Coachella,,"Monday Closed, Tuesday 12:00 PM - 7:00 PM, Wednesday 12:00 PM - 7:00 PM, Thursday 12:00 PM - 7:00 PM, Friday 10:00 AM - 5:00 PM, Saturday 10:00 AM - 5:00 PM, Sunday Closed",http://www.rivlib.net/branch/coachella ,Riverside County Libraries - Coachella Library,Coachella,,"Monday Closed, Tuesday 12:00 PM - 7:00 PM, Wednesday 12:00 PM - 7:00 PM, Thursday 12:00 PM - 7:00 PM, Friday 10:00 AM - 5:00 PM, Saturday 10:00 AM - 5:00 PM, Sunday Closed",http://www.rivlib.net/branch/coachella ,Riverside County Libraries - Coachella Library,Coachella,,"Monday Closed, Tuesday 12:00 PM - 7:00 PM, Wednesday 12:00 PM - 7:00 PM, Thursday 12:00 PM - 7:00 PM, Friday 10:00 AM - 5:00 PM, Saturday 10:00 AM - 5:00 PM, Sunday Closed",http://www.rivlib.net/branch/coachella ,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities",,Partnership opportunities,No. Our services are offered free of cost.,,33.678851,-116.17581,"https://www.google.com/maps?q=33.678851,-116.17581",Riverside
Riverside County Libraries - Desert Hot Springs,14380 Palm Dr,Desert Hot Springs ,CA,92240,760-329-5926,http://www.rivlib.net/branch/desert-hot-springs,Nyrza Castro,Branch Manager,infodhs@rivlib.net,Riverside County Libraries - Desert Hot Springs,,"Public Wi-Fi, Computer center(s)",County-wide or across multiple counties,Riverside,,In-Person,,Riverside County Libraries - Desert Hot Springs,Desert Hot Springs ,760-329-5926,"Monday Closed, Tuesday 10:00 AM - 6:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday 10:00 AM - 5:00 PM, Saturday 10:00 AM - 5:00 PM, Sunday Closed",http://www.rivlib.net/branch/desert-hot-springs,Riverside County Libraries - Desert Hot Springs,Desert Hot Springs ,,"Monday Closed, Tuesday 10:00 AM - 6:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday 10:00 AM - 5:00 PM, Saturday 10:00 AM - 5:00 PM, Sunday Closed",http://www.rivlib.net/branch/desert-hot-springs,Riverside County Libraries - Desert Hot Springs,Desert Hot Springs ,,"Monday Closed, Tuesday 10:00 AM - 6:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday 10:00 AM - 5:00 PM, Saturday 10:00 AM - 5:00 PM, Sunday Closed",http://www.rivlib.net/branch/desert-hot-springs,Riverside County Libraries - Desert Hot Springs,Desert Hot Springs ,,"Monday Closed, Tuesday 10:00 AM - 6:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday 10:00 AM - 5:00 PM, Saturday 10:00 AM - 5:00 PM, Sunday Closed",http://www.rivlib.net/branch/desert-hot-springs,Riverside County Libraries - Desert Hot Springs,Desert Hot Springs ,,"Monday Closed, Tuesday 10:00 AM - 6:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday 10:00 AM - 5:00 PM, Saturday 10:00 AM - 5:00 PM, Sunday Closed",http://www.rivlib.net/branch/desert-hot-springs,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities",,Partnership opportunities,No. Our services are offered free of cost.,,33.943842,-116.500059,"https://www.google.com/maps?q=33.943842,-116.500059",Riverside
Riverside County Libraries - Eastvale Library,7447 Scholar Way ,Eastvale,CA,92880,951-273-2025,http://www.rivlib.net/branch/eastvale,Mia Bacerra,Branch Manager,infoeast@rivlib.net,Riverside County Libraries - Eastvale Library,,"Public Wi-Fi, Computer center(s)",County-wide or across multiple counties,Riverside,,In-Person,,Riverside County Libraries - Eastvale Library,Eastvale,951-273-2025,"Monday Closed, Tuesday 10:00 AM - 6:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday 10:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",http://www.rivlib.net/branch/eastvale,Riverside County Libraries - Eastvale Library,Eastvale,,"Monday Closed, Tuesday 10:00 AM - 6:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday 10:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",http://www.rivlib.net/branch/eastvale,Riverside County Libraries - Eastvale Library,Eastvale,,"Monday Closed, Tuesday 10:00 AM - 6:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday 10:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",http://www.rivlib.net/branch/eastvale,Riverside County Libraries - Eastvale Library,Eastvale,,"Monday Closed, Tuesday 10:00 AM - 6:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday 10:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",http://www.rivlib.net/branch/eastvale,Riverside County Libraries - Eastvale Library,Eastvale,,"Monday Closed, Tuesday 10:00 AM - 6:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday 10:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",http://www.rivlib.net/branch/eastvale,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities",,Partnership opportunities,No. Our services are offered free of cost.,,33.953712,-117.567946,"https://www.google.com/maps?q=33.953712,-117.567946",Riverside
Riverside County Libraries - El Cerrito Library,7581 Rudell Road,Corona,CA,92881,951-270-5012,http://www.rivlib.net/branch/el-cerrito ,Maria Claudio ,Branch Manager,infoelc@rivlib.net,Riverside County Libraries - El Cerrito Library,,"Public Wi-Fi, Computer center(s)",County-wide or across multiple counties,Riverside,,In-Person,,Riverside County Libraries - El Cerrito Library,Corona,951-270-5012,"Monday Closed, Tuesday 12:00 PM - 7:00 PM, Wednesday 12:00 PM - 7:00 PM, Thursday 12:00 PM - 7:00 PM, Friday 10:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",http://www.rivlib.net/branch/el-cerrito ,Riverside County Libraries - El Cerrito Library,Corona,,"Monday Closed, Tuesday 12:00 PM - 7:00 PM, Wednesday 12:00 PM - 7:00 PM, Thursday 12:00 PM - 7:00 PM, Friday 10:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",http://www.rivlib.net/branch/el-cerrito ,Riverside County Libraries - El Cerrito Library,Corona,,"Monday Closed, Tuesday 12:00 PM - 7:00 PM, Wednesday 12:00 PM - 7:00 PM, Thursday 12:00 PM - 7:00 PM, Friday 10:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",http://www.rivlib.net/branch/el-cerrito ,Riverside County Libraries - El Cerrito Library,Corona,,"Monday Closed, Tuesday 12:00 PM - 7:00 PM, Wednesday 12:00 PM - 7:00 PM, Thursday 12:00 PM - 7:00 PM, Friday 10:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",http://www.rivlib.net/branch/el-cerrito ,Riverside County Libraries - El Cerrito Library,Corona,,"Monday Closed, Tuesday 12:00 PM - 7:00 PM, Wednesday 12:00 PM - 7:00 PM, Thursday 12:00 PM - 7:00 PM, Friday 10:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",http://www.rivlib.net/branch/el-cerrito ,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities",,Partnership opportunities,No. Our services are offered free of cost.,,33.835588,-117.526588,"https://www.google.com/maps?q=33.835588,-117.526588",Riverside
Riverside County Libraries - French Valley Library,31526 Skyview,Winchester,CA,92596,951-923-6636,http://www.rivlib.net/branch/french-valley,Holly Fernandez,Branch Manager,infofva@rivlib.net,Riverside County Libraries - French Valley Library,,"Public Wi-Fi, Computer center(s)",County-wide or across multiple counties,Riverside,,In-Person,,Riverside County Libraries - French Valley Library,Winchester,951-923-6636,"Monday Closed, Tuesday 10:00 AM - 6:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday 10:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",http://www.rivlib.net/branch/french-valley,Riverside County Libraries - French Valley Library,Winchester,,"Monday Closed, Tuesday 10:00 AM - 6:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday 10:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",http://www.rivlib.net/branch/french-valley,Riverside County Libraries - French Valley Library,Winchester,,"Monday Closed, Tuesday 10:00 AM - 6:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday 10:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",http://www.rivlib.net/branch/french-valley,Riverside County Libraries - French Valley Library,Winchester,,"Monday Closed, Tuesday 10:00 AM - 6:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday 10:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",http://www.rivlib.net/branch/french-valley,Riverside County Libraries - French Valley Library,Winchester,,"Monday Closed, Tuesday 10:00 AM - 6:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday 10:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",http://www.rivlib.net/branch/french-valley,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities",,Partnership opportunities,No. Our services are offered free of cost.,,33.60933,-117.107718,"https://www.google.com/maps?q=33.60933,-117.107718",Riverside
Riverside County Libraries - Glen Avon Library,244 Galena ,Jurupa Valley,CA,92509,951-685-7158,http://www.rivlib.net/branch/glen-avon,Nancy Reiter ,Branch Manager,infogav@rivlib.net,Riverside County Libraries - Glen Avon Library,,"Public Wi-Fi, Computer center(s)",County-wide or across multiple counties,Riverside,,In-Person,,Riverside County Libraries - Glen Avon Library,Jurupa Valley,951-685-7158,"Monday Closed, Tuesday 10:00 AM - 6:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday 10:00 AM - 5:00 PM, Saturday 10:00 AM - 5:00 PM, Sunday Closed",http://www.rivlib.net/branch/glen-avon,Riverside County Libraries - Glen Avon Library,Jurupa Valley,,"Monday Closed, Tuesday 10:00 AM - 6:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday 10:00 AM - 5:00 PM, Saturday 10:00 AM - 5:00 PM, Sunday Closed",http://www.rivlib.net/branch/glen-avon,Riverside County Libraries - Glen Avon Library,Jurupa Valley,,"Monday Closed, Tuesday 10:00 AM - 6:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday 10:00 AM - 5:00 PM, Saturday 10:00 AM - 5:00 PM, Sunday Closed",http://www.rivlib.net/branch/glen-avon,Riverside County Libraries - Glen Avon Library,Jurupa Valley,,"Monday Closed, Tuesday 10:00 AM - 6:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday 10:00 AM - 5:00 PM, Saturday 10:00 AM - 5:00 PM, Sunday Closed",http://www.rivlib.net/branch/glen-avon,Riverside County Libraries - Glen Avon Library,Jurupa Valley,,"Monday Closed, Tuesday 10:00 AM - 6:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday 10:00 AM - 5:00 PM, Saturday 10:00 AM - 5:00 PM, Sunday Closed",http://www.rivlib.net/branch/glen-avon,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities",,Partnership opportunities,No. Our services are offered free of cost.,,34.004509,-117.478602,"https://www.google.com/maps?q=34.004509,-117.478602",Riverside
Riverside County Libraries - Grace Mellman Community Library,41000 County Center Drive,Temecula,CA,92591,951-296-0229,http://www.rivlib.net/branch/grace-mellman-community,Kim Christofferson,Branch Manager,infotmc@rivlib.net,Riverside County Libraries - Grace Mellman Community Library,,"Public Wi-Fi, Computer center(s)",County-wide or across multiple counties,Riverside,,In-Person,,Riverside County Libraries - Grace Mellman Community Library,Temecula,951-296-0229,"Monday Closed, Tuesday 10:00 AM - 6:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday 10:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",http://www.rivlib.net/branch/grace-mellman-community,Riverside County Libraries - Grace Mellman Community Library,Temecula,,"Monday Closed, Tuesday 10:00 AM - 6:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday 10:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",http://www.rivlib.net/branch/grace-mellman-community,Riverside County Libraries - Grace Mellman Community Library,Temecula,,"Monday Closed, Tuesday 10:00 AM - 6:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday 10:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",http://www.rivlib.net/branch/grace-mellman-community,Riverside County Libraries - Grace Mellman Community Library,Temecula,,"Monday Closed, Tuesday 10:00 AM - 6:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday 10:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",http://www.rivlib.net/branch/grace-mellman-community,Riverside County Libraries - Grace Mellman Community Library,Temecula,,"Monday Closed, Tuesday 10:00 AM - 6:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday 10:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",http://www.rivlib.net/branch/grace-mellman-community,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities",,Partnership opportunities,No. Our services are offered free of cost.,,33.526823,-117.161189,"https://www.google.com/maps?q=33.526823,-117.161189",Riverside
Riverside County Libraries - Highgrove Library,30 W. Center St. ,Highgrove,CA,92507,951-682-1507,http://www.rivlib.net/branch/highgrove,Anna Bekker,Branch Manager,infohig@rivlib.net,Riverside County Libraries - Highgrove Library,,"Public Wi-Fi, Computer center(s)",County-wide or across multiple counties,Riverside,,In-Person,,Riverside County Libraries - Highgrove Library,Highgrove,951-682-1507,"Monday Closed, Tuesday 10:00 AM - 6:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday 10:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",http://www.rivlib.net/branch/highgrove,Riverside County Libraries - Highgrove Library,Highgrove,,"Monday Closed, Tuesday 10:00 AM - 6:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday 10:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",http://www.rivlib.net/branch/highgrove,Riverside County Libraries - Highgrove Library,Highgrove,,"Monday Closed, Tuesday 10:00 AM - 6:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday 10:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",http://www.rivlib.net/branch/highgrove,Riverside County Libraries - Highgrove Library,Highgrove,,"Monday Closed, Tuesday 10:00 AM - 6:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday 10:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",http://www.rivlib.net/branch/highgrove,Riverside County Libraries - Highgrove Library,Highgrove,,"Monday Closed, Tuesday 10:00 AM - 6:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday 10:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",http://www.rivlib.net/branch/highgrove,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities",,Partnership opportunities,No. Our services are offered free of cost.,,34.017753,-117.347155,"https://www.google.com/maps?q=34.017753,-117.347155",Riverside
