Name of Organization,Organization Address: Address Line 1,Organization Address: City,Organization Address: State,Organization Address: Zip/Postal Code,Business Phone No,Webpage,Name of Point of Contact,Position/Title,Business Email Address,Type of Organization,(For ISP only) Do you have a low-cost home internet service offer or subsidy?,4. What digital inclusion service(s) does your entity/organization provide to individuals? Please select all that apply.,5. What is your entity/organization's service area?,6. Please indicate all the counties in which you provide services.,7. Please indicate all the cities in which you provide services,8. How does your entity/organization provide its services? Select all that apply. ,Please provide the website URL where more information about your virtual program / service can be found.,Name of physical location where services are provided.,What is the physical location address where your entity/organization provides in-person services?,Phone Number,Hours of Operation,Program/Service Webpage,Name of physical location where services are provided..1,What is the physical location address where your entity/organization provides in-person services?.1,Phone Number.1,Hours of Operation.1,Program/Service Webpage.1,Name of physical location where services are provided..2,What is the physical location address where your entity/organization provides in-person services?.2,Phone Number.2,Hours of Operation.2,Program/Service Webpage.2,Name of physical location where services are provided..3,What is the physical location address where your entity/organization provides in-person services?.3,Phone Number.3,Hours of Operation.3,Program/Service Webpage.3,Name of physical location where services are provided..4,What is the physical location address where your entity/organization provides in-person services?.4,Phone Number.4,Hours of Operation.4,Program/Service Webpage.4,9. Does your entity/organization charge for its services?,10. To which of the following are your service available?,11. What language(s) does your entity/organization provide its services in? Please select all that apply. ,12. Does your entity/organization provide any of the following supports or services to other organizations? Please select all that apply.,13. Does your entity/organization charge for its services?,Date Submitted
Kaio Foundation,Osage Ave,Torrance,CA,90504,'+13109617641,https://kaiofoundation.org,Kawena DeOcampo,Program Director,kawena@kaiofoundation.org,Kaio Foundation,,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Free/Low-cost devices, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,"Los Angeles, Orange, Riverside, San Bernardino, San Diego",,In-Person,,Community Centers and Community Events,Carson,,,,Community Centers and Community Events,Carson,,,,Community Centers and Community Events,Carson,,,,Community Centers and Community Events,Carson,,,,Community Centers and Community Events,Carson,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities",English,"Partnership opportunities, Information sharing",No. Our services are offered free of cost.,2026-01-08 10:08:00
Hartnell College,411 Central Ave,Salinas,CA,93901,'+18357556729,https://hartnell.edu,Chelsy Pham,Vice President of Information Technology,cpham@hartnell.edu,Hartnell College,,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital literacy & skills training, Free/Low-cost devices, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Monterey,,In-Person,,Hartnell College,Salinas,'+18317556711,2026-08-05 00:00:00,https://www.hartnell.edu/support/basicneeds/index.html,Hartnell College,Salinas,'+18317556711,2026-08-05 00:00:00,https://www.hartnell.edu/support/basicneeds/index.html,Hartnell College,Salinas,'+18317556711,2026-08-05 00:00:00,https://www.hartnell.edu/support/basicneeds/index.html,Hartnell College,Salinas,'+18317556711,2026-08-05 00:00:00,https://www.hartnell.edu/support/basicneeds/index.html,Hartnell College,Salinas,'+18317556711,2026-08-05 00:00:00,https://www.hartnell.edu/support/basicneeds/index.html,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish",,No. Our services are offered free of cost.,2026-01-08 08:41:00
Ameelio Inc,601 W 26th Street,New York,NY,10001,'+14125205561,https://ameelio.org,April Feng,CEO,april@ameelio.org,Ameelio Inc,,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Online educational resources, Workforce development resources",Statewide,,,Virtually,https://app.ameelio.org,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Incarcerated Individuals, Ethnic or Minority Communities","English, Spanish","Train-the-trainer, Partnership opportunities, Information sharing",No. Our services are offered free of cost.,2026-01-07 19:16:00
Ameelio Inc,601 W 26th Street,New York,NY,10001,'+14125205561,https://ameelio.org,April Feng,CEO,april@ameelio.org,Ameelio Inc,,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Online educational resources, Workforce development resources",Statewide,,,In-Person,,San Francisco County Jail,San Francisco,'+14155531430,,https://sfsheriff.com/,San Francisco County Jail,San Francisco,'+14155531430,,https://sfsheriff.com/,San Francisco County Jail,San Francisco,'+14155531430,,https://sfsheriff.com/,San Francisco County Jail,San Francisco,'+14155531430,,https://sfsheriff.com/,San Francisco County Jail,San Francisco,'+14155531430,,https://sfsheriff.com/,No. Our services are offered free of cost.,"Yes, Incarcerated Individuals, Ethnic or Minority Communities","English, Spanish","Train-the-trainer, Partnership opportunities, Information sharing",No. Our services are offered free of cost.,2026-01-07 19:16:00
LOS ALTOS HILLS COMMUNITY FIBER ASSOCIATION,"221 Main Street, #188",Los Altos,CA,94023,'+14082561114,https://lahcommunityfiber.org,Jan Clayton,Treasurer,info@lahcommunityfiber.org,LOS ALTOS HILLS COMMUNITY FIBER ASSOCIATION,Yes,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Technical support",City-wide or across multiple cities,Santa Clara,,Virtually,https://lahcommunityfiber.org,,,,,,,,,,,,,,,,,,,,,,,,,,Yes. We charge a fee for our services and itâ€™s more than $25.,"Yes, Individuals with Disabilities, Rural Communities",English,,,2026-01-07 18:05:00
Los Promotores Comunitarios,911 Sierras Ln,FIREBAUGH,CA,93622-2800,'+15592104832,https://www.lospromotores.org/,Felipe Perez,Executive Director,fejeperez@lospromotores.org,Los Promotores Comunitarios,,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support",City-wide or across multiple cities,Fresno,,Virtually,https://www.parentuniversity.org/,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish",Partnership opportunities,No. Our services are offered free of cost.,2026-01-07 17:42:00
Los Promotores Comunitarios,911 Sierras Ln,FIREBAUGH,CA,93622-2800,'+15592104832,https://www.lospromotores.org/,Felipe Perez,Executive Director,fejeperez@lospromotores.org,Los Promotores Comunitarios,,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support",City-wide or across multiple cities,Fresno,,In-Person,,Firebaugh Senior Center,Firebaugh,'+15592104832,1:00 pm - 6:00 pm,https://www.parentuniversity.org/,Firebaugh Senior Center,Firebaugh,'+15592104832,1:00 pm - 6:00 pm,https://www.parentuniversity.org/,Firebaugh Senior Center,Firebaugh,'+15592104832,1:00 pm - 6:00 pm,https://www.parentuniversity.org/,Firebaugh Senior Center,Firebaugh,'+15592104832,1:00 pm - 6:00 pm,https://www.parentuniversity.org/,Firebaugh Senior Center,Firebaugh,'+15592104832,1:00 pm - 6:00 pm,https://www.parentuniversity.org/,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish",Partnership opportunities,No. Our services are offered free of cost.,2026-01-07 17:42:00
Southern Border Consortium,2415 Imperial Business Park Drive,Imperial,CA,92251,'+17603538332,https://www.ivedc.com,Alma Silva,VP of Operations,alma@ivbrc.org,Southern Border Consortium,,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital literacy & skills training, Technical support, Free/Low-cost devices, Online educational resources, Workforce development resources",County-wide or across multiple counties,Imperial,,Virtually,https://www.ivedc.com,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish","Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,2026-01-07 16:52:00
Southern Border Consortium,2415 Imperial Business Park Drive,Imperial,CA,92251,'+17603538332,https://www.ivedc.com,Alma Silva,VP of Operations,alma@ivbrc.org,Southern Border Consortium,,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital literacy & skills training, Technical support, Free/Low-cost devices, Online educational resources, Workforce development resources",County-wide or across multiple counties,Imperial,,In-Person,,Imperial Valley Business Resource Center,Imperial,'+17603538332,8am - 5pm,https://www.ivbrc.org,Imperial Valley Business Resource Center,Imperial,'+17603538332,8am - 5pm,https://www.ivbrc.org,Imperial Valley Business Resource Center,Imperial,'+17603538332,8am - 5pm,https://www.ivbrc.org,Imperial Valley Business Resource Center,Imperial,'+17603538332,8am - 5pm,https://www.ivbrc.org,Imperial Valley Business Resource Center,Imperial,'+17603538332,8am - 5pm,https://www.ivbrc.org,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish","Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,2026-01-07 16:52:00
Fresno Economic Opportunities Commission,1920 Mariposa Street,Fresno,CA,93721,'+15592631301,https://fresnoeoc.org,Leah Stuck,Program Coordinator,leah.struck@fresnoeoc.org,Fresno Economic Opportunities Commission,,"Enrollment assistance in low-cost internet service programs, Digital literacy & skills training, Public Wi-Fi, Workforce development resources",County-wide or across multiple counties,"Fresno, Madera",,In-Person,,Locations vary as they are in rural areas and the location may change.,,,8:30a - 5p,,Locations vary as they are in rural areas and the location may change.,,,8:30a - 5p,,Locations vary as they are in rural areas and the location may change.,,,8:30a - 5p,,Locations vary as they are in rural areas and the location may change.,,,8:30a - 5p,,Locations vary as they are in rural areas and the location may change.,,,8:30a - 5p,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish, Other","Digital equity grant writing, Train-the-trainer, Partnership opportunities, Information sharing",Yes. We charge a fee for our services.,2026-01-07 16:11:00
Calaveras County Health and Human Services Agency,509 E St. Charles Street,San Andreas,CA,95249,'+12097546577,https://hhsa.calaverasgov.us/,Michael Magana,Assistant Director HHSA,mmagana@calaverascounty.gov,Calaveras County Health and Human Services Agency,,Free/Low-cost devices,City-wide or across multiple cities,Calaveras,,In-Person,,Calaveras Health and Human Services Agency,San Andreas,'+18004644079,8-5pm Monday through Friday,,Calaveras Health and Human Services Agency,San Andreas,'+18004644079,8-5pm Monday through Friday,,Calaveras Health and Human Services Agency,San Andreas,'+18004644079,8-5pm Monday through Friday,,Calaveras Health and Human Services Agency,San Andreas,'+18004644079,8-5pm Monday through Friday,,Calaveras Health and Human Services Agency,San Andreas,'+18004644079,8-5pm Monday through Friday,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish","Train-the-trainer, Partnership opportunities",No. Our services are offered free of cost.,2026-01-07 15:49:00
Human Works Foundation,1231 Warner Avenue Room 203,Tustin,CA,92780,'+17148671947,https://www.human-works.org/,Caryl Fritze,Administrative Assistant,contactus@human-works.org,Human Works Foundation,,"Digital literacy & skills training, Workforce development resources",County-wide or across multiple counties,Orange,,Virtually,https://www.human-works.org/hwfservices,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Incarcerated Individuals, Veterans, Individuals with Disabilities","English, Spanish","Organizational training, Train-the-trainer, Partnership opportunities, Collective action, Information sharing",Yes. We charge a fee for our services.,2026-01-07 15:15:00
Human Works Foundation,1231 Warner Avenue Room 203,Tustin,CA,92780,'+17148671947,https://www.human-works.org/,Caryl Fritze,Administrative Assistant,contactus@human-works.org,Human Works Foundation,,"Digital literacy & skills training, Workforce development resources",County-wide or across multiple counties,Orange,,In-Person,,Tierney Center for Veteran Services,Tustin,'+17148671947,8:00AM- 5:00PM,https://www.human-works.org/hwfservices,Tierney Center for Veteran Services,Tustin,'+17148671947,8:00AM- 5:00PM,https://www.human-works.org/hwfservices,Tierney Center for Veteran Services,Tustin,'+17148671947,8:00AM- 5:00PM,https://www.human-works.org/hwfservices,Tierney Center for Veteran Services,Tustin,'+17148671947,8:00AM- 5:00PM,https://www.human-works.org/hwfservices,Tierney Center for Veteran Services,Tustin,'+17148671947,8:00AM- 5:00PM,https://www.human-works.org/hwfservices,No. Our services are offered free of cost.,"Yes, Incarcerated Individuals, Veterans, Individuals with Disabilities","English, Spanish","Organizational training, Train-the-trainer, Partnership opportunities, Collective action, Information sharing",Yes. We charge a fee for our services.,2026-01-07 15:15:00
County of Los Angeles Community Broadband Network - South Los Angeles (In Partnership with WeLink Communications),1110 N. Eastern Ave,Los Angeles,CA,90063,'+13234575414,https://www.deletethedivide.org/community-broadband-network/,Eric Sasaki,"Manager, Major Programs",esasaki@isd.lacounty.gov,County of Los Angeles Community Broadband Network - South Los Angeles (In Partnership with WeLink Communications),Yes,Enrollment assistance in low-cost internet service programs,Other,,,Virtually,https://www.deletethedivide.org/community-broadband-network/,,,,,,,,,,,,,,,,,,,,,,,,,,Yes. We charge a fee for our services and itâ€™s more than $25.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Tagalog, Mandarin, Vietnamese, Korean, Cantonese, Armenian, Farsi, Arabic, Hindi, Russian, Japanese, Punjabi, Khmer, Other",Partnership opportunities,No. Our services are offered free of cost.,2026-01-07 15:12:00
County of Los Angeles Community Broadband Network - East Los Angeles and Boyle Heights (In Partnership with WeLink Communications),1110 N. Eastern Ave.,Los Angeles,CA,90063,'+13234575414,https://www.deletethedivide.org/community-broadband-network/,Eric Sasaki,"Manager, Major Programs",esasaki@isd.lacounty.gov,County of Los Angeles Community Broadband Network - East Los Angeles and Boyle Heights (In Partnership with WeLink Communications),Yes,Enrollment assistance in low-cost internet service programs,Other,,,Virtually,https://www.deletethedivide.org/community-broadband-network/,,,,,,,,,,,,,,,,,,,,,,,,,,Yes. We charge a fee for our services and itâ€™s more than $25.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Tagalog, Mandarin, Vietnamese, Korean, Cantonese, Armenian, Farsi, Arabic, Hindi, Russian, Japanese, Khmer, Other",Partnership opportunities,No. Our services are offered free of cost.,2026-01-07 15:07:00
Fresno State Office of Community and Economic Development,1625 E. Shaw Ave. Suite 146,Fresno,CA,93710,'+15592780721,https://cge.fresnostate.edu/oced/,Barbara Foster,Acting Executive Director,bfoster@mail.fresnostate.edu,Fresno State Office of Community and Economic Development,,"Locating low-cost internet service programs, Digital literacy & skills training, Technical support, Free/Low-cost devices, Online educational resources, Workforce development resources",Other,,,Virtually,https://cge.fresnostate.edu/oced/parent-university.html,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities, Other","English, Spanish, Punjabi, Other","Train-the-trainer, Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,2026-01-07 15:02:00
Fresno State Office of Community and Economic Development,1625 E. Shaw Ave. Suite 146,Fresno,CA,93710,'+15592780721,https://cge.fresnostate.edu/oced/,Barbara Foster,Acting Executive Director,bfoster@mail.fresnostate.edu,Fresno State Office of Community and Economic Development,,"Locating low-cost internet service programs, Digital literacy & skills training, Technical support, Free/Low-cost devices, Online educational resources, Workforce development resources",Other,,,In-Person,,Office of Community and Economic Development,Fresno,,Monday-Friday 8:00 AM - 5:00 Evenings and Weekends by appointment,https://cge.fresnostate.edu/oced/parent-university.html,Office of Community and Economic Development,Fresno,,Monday-Friday 8:00 AM - 5:00 Evenings and Weekends by appointment,https://cge.fresnostate.edu/oced/parent-university.html,Office of Community and Economic Development,Fresno,,Monday-Friday 8:00 AM - 5:00 Evenings and Weekends by appointment,https://cge.fresnostate.edu/oced/parent-university.html,Office of Community and Economic Development,Fresno,,Monday-Friday 8:00 AM - 5:00 Evenings and Weekends by appointment,https://cge.fresnostate.edu/oced/parent-university.html,Office of Community and Economic Development,Fresno,,Monday-Friday 8:00 AM - 5:00 Evenings and Weekends by appointment,https://cge.fresnostate.edu/oced/parent-university.html,No. Our services are offered free of cost.,"Yes, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities, Other","English, Spanish, Punjabi, Other","Train-the-trainer, Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,2026-01-07 15:02:00
ABLE Community Development Foundation,7811 Dalewoods Way,Sacramento,CA,95828,'+15102740958,https://www.ablecommunitydf.org,Sery Tatpaporn,President/CEO,ablecommunitydf@gmail.com,ABLE Community Development Foundation,,Digital literacy & skills training,County-wide or across multiple counties,"Contra Costa, Sacramento",,In-Person,,AAPI Wellness Center,Richmond,'+15102740958,0900 AM to 5:00 PM,https://www.ablecommunitydf.org,AAPI Wellness Center,Richmond,'+15102740958,0900 AM to 5:00 PM,https://www.ablecommunitydf.org,AAPI Wellness Center,Richmond,'+15102740958,0900 AM to 5:00 PM,https://www.ablecommunitydf.org,AAPI Wellness Center,Richmond,'+15102740958,0900 AM to 5:00 PM,https://www.ablecommunitydf.org,AAPI Wellness Center,Richmond,'+15102740958,0900 AM to 5:00 PM,https://www.ablecommunitydf.org,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Mandarin, Vietnamese, Khmer, Other","Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,2026-01-07 15:01:00
Napa County,1195 Third St.,Napa,CA,94559,'+17072991519,https://www.napacounty.gov/3592/Broadband-High-Speed-Internet,Mark Revis,Broadband Project Manager,mark.revis@countyofnapa.org,Napa County,,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s)",County-wide or across multiple counties,Napa,,Virtually,https://www.napacounty.gov/3592/Broadband-High-Speed-Internet,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish","Digital equity grant writing, Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,2026-01-07 14:57:00
Napa County,1195 Third St.,Napa,CA,94559,'+17072991519,https://www.napacounty.gov/3592/Broadband-High-Speed-Internet,Mark Revis,Broadband Project Manager,mark.revis@countyofnapa.org,Napa County,,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s)",County-wide or across multiple counties,Napa,,In-Person,,Napa County Library (Napa),Napa,'+17072534241,"Monday - Thursday 9 a.m. - 8 p.m., Friday and Saturday 10 a.m. - 6 p.m., Sunday 1 - 5 p.m.",https://www.napacounty.gov/584/Library,Napa County Library (Napa),Napa,'+17072534241,"Monday - Thursday 9 a.m. - 8 p.m., Friday and Saturday 10 a.m. - 6 p.m., Sunday 1 - 5 p.m.",https://www.napacounty.gov/584/Library,Napa County Library (Napa),Napa,'+17072534241,"Monday - Thursday 9 a.m. - 8 p.m., Friday and Saturday 10 a.m. - 6 p.m., Sunday 1 - 5 p.m.",https://www.napacounty.gov/584/Library,Napa County Library (Napa),Napa,'+17072534241,"Monday - Thursday 9 a.m. - 8 p.m., Friday and Saturday 10 a.m. - 6 p.m., Sunday 1 - 5 p.m.",https://www.napacounty.gov/584/Library,Napa County Library (Napa),Napa,'+17072534241,"Monday - Thursday 9 a.m. - 8 p.m., Friday and Saturday 10 a.m. - 6 p.m., Sunday 1 - 5 p.m.",https://www.napacounty.gov/584/Library,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish","Digital equity grant writing, Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,2026-01-07 14:57:00
Napa County,1195 Third St.,Napa,CA,94559,'+17072991519,https://www.napacounty.gov/3592/Broadband-High-Speed-Internet,Mark Revis,Broadband Project Manager,mark.revis@countyofnapa.org,Napa County,,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s)",County-wide or across multiple counties,Napa,,In-Person,,Napa County Library (American Canyon),American Canyon,'+17076441136,"Monday, Tuesday, and Thursday - Saturday 10 a.m. âˆ’ 6 p.m. Wednesday 12 p.m. âˆ’ 8 p.m.",https://www.napacounty.gov/584/Library,Napa County Library (American Canyon),American Canyon,'+17076441136,"Monday, Tuesday, and Thursday - Saturday 10 a.m. âˆ’ 6 p.m. Wednesday 12 p.m. âˆ’ 8 p.m.",https://www.napacounty.gov/584/Library,Napa County Library (American Canyon),American Canyon,'+17076441136,"Monday, Tuesday, and Thursday - Saturday 10 a.m. âˆ’ 6 p.m. Wednesday 12 p.m. âˆ’ 8 p.m.",https://www.napacounty.gov/584/Library,Napa County Library (American Canyon),American Canyon,'+17076441136,"Monday, Tuesday, and Thursday - Saturday 10 a.m. âˆ’ 6 p.m. Wednesday 12 p.m. âˆ’ 8 p.m.",https://www.napacounty.gov/584/Library,Napa County Library (American Canyon),American Canyon,'+17076441136,"Monday, Tuesday, and Thursday - Saturday 10 a.m. âˆ’ 6 p.m. Wednesday 12 p.m. âˆ’ 8 p.m.",https://www.napacounty.gov/584/Library,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish","Digital equity grant writing, Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,2026-01-07 14:57:00
Napa County,1195 Third St.,Napa,CA,94559,'+17072991519,https://www.napacounty.gov/3592/Broadband-High-Speed-Internet,Mark Revis,Broadband Project Manager,mark.revis@countyofnapa.org,Napa County,,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s)",County-wide or across multiple counties,Napa,,In-Person,,Napa County Library (Yountville),Yountville,'+17079441888,Tuesday - Saturday 9 a.m. âˆ’ 5 p.m.,https://www.napacounty.gov/584/Library,Napa County Library (Yountville),Yountville,'+17079441888,Tuesday - Saturday 9 a.m. âˆ’ 5 p.m.,https://www.napacounty.gov/584/Library,Napa County Library (Yountville),Yountville,'+17079441888,Tuesday - Saturday 9 a.m. âˆ’ 5 p.m.,https://www.napacounty.gov/584/Library,Napa County Library (Yountville),Yountville,'+17079441888,Tuesday - Saturday 9 a.m. âˆ’ 5 p.m.,https://www.napacounty.gov/584/Library,Napa County Library (Yountville),Yountville,'+17079441888,Tuesday - Saturday 9 a.m. âˆ’ 5 p.m.,https://www.napacounty.gov/584/Library,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish","Digital equity grant writing, Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,2026-01-07 14:57:00
Napa County,1195 Third St.,Napa,CA,94559,'+17072991519,https://www.napacounty.gov/3592/Broadband-High-Speed-Internet,Mark Revis,Broadband Project Manager,mark.revis@countyofnapa.org,Napa County,,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s)",County-wide or across multiple counties,Napa,,In-Person,,Napa County Library (Calistoga),Calistoga,'+17079424833,"Monday, Tuesday, and Thursday - Saturday 10 a.m. âˆ’ 6 p.m. Wednesday 12 p.m. âˆ’ 8 p.m.",https://www.napacounty.gov/584/Library,Napa County Library (Calistoga),Calistoga,'+17079424833,"Monday, Tuesday, and Thursday - Saturday 10 a.m. âˆ’ 6 p.m. Wednesday 12 p.m. âˆ’ 8 p.m.",https://www.napacounty.gov/584/Library,Napa County Library (Calistoga),Calistoga,'+17079424833,"Monday, Tuesday, and Thursday - Saturday 10 a.m. âˆ’ 6 p.m. Wednesday 12 p.m. âˆ’ 8 p.m.",https://www.napacounty.gov/584/Library,Napa County Library (Calistoga),Calistoga,'+17079424833,"Monday, Tuesday, and Thursday - Saturday 10 a.m. âˆ’ 6 p.m. Wednesday 12 p.m. âˆ’ 8 p.m.",https://www.napacounty.gov/584/Library,Napa County Library (Calistoga),Calistoga,'+17079424833,"Monday, Tuesday, and Thursday - Saturday 10 a.m. âˆ’ 6 p.m. Wednesday 12 p.m. âˆ’ 8 p.m.",https://www.napacounty.gov/584/Library,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish","Digital equity grant writing, Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,2026-01-07 14:57:00
Acton & Agua Dulce Democratic Club,2006 Galloping Way,Acton,CA,93510-1408,'+18182981735,https://www.actonaguadulcedemocraticclub.com/,Jessica Fish,VP Membership/Programming,acton.aguadulce.democrats@gmail.com,Acton & Agua Dulce Democratic Club,,Online educational resources,Other,,,Virtually,https://www.actonaguadulcedemocraticclub.com/democracy-in-action,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Ethnic or Minority Communities, Rural Communities",English,"Collective action, Information sharing",No. Our services are offered free of cost.,2026-01-07 14:49:00
People Centric Ventures (San Jose ON & Beyond),2570 N First St,San Jose,CA,95131,'+14086000429,https://www.SanJoseOn.com,Gina Gates-Lopez,Director,contact@sanjoseon.com,People Centric Ventures (San Jose ON & Beyond),,"Digital literacy & skills training, Online educational resources",County-wide or across multiple counties,Santa Clara,,Virtually,https://www.SanJoseOn.com,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Other",English,"Organizational training, Partnership opportunities, Collective action, Information sharing, Other",Yes. We charge a fee for our services.,2026-01-07 14:22:00
